,Name,Link,Tier,Type,Location,Portfolio,# Investments
0,Coinbase Ventures,https://cryptorank.io/funds/coinbase-ventures,1,Venture,United States,FTX TokenYuga LabsAmber Group,340
1,Andreessen Horowitz (a16z),https://cryptorank.io/funds/andreessen-horowitz,1,Venture,United States,RobinhoodForteCross River,210
2,Pantera Capital,https://cryptorank.io/funds/pantera-capital,1,Venture,United States,AlchemyBakktAmber Group,179
3,Polychain Capital,https://cryptorank.io/funds/polychain-capital,1,Venture,United States,SolanaCoinbaseCoinDCX,177
4,HashKey Capital,https://cryptorank.io/funds/hash-key-capital,1,Venture,Hong Kong,Secret NetworkCoinlistAssembly,165
5,DragonFly Capital,https://cryptorank.io/funds/dragon-fly-capital,1,Venture,United States,Near ProtocolPolygonSecret Network,151
6,Binance Labs,https://cryptorank.io/funds/binance-labs,1,Incubator,Malta,SuiForbesMythical Games,139
7,Multicoin Capital,https://cryptorank.io/funds/multicoin-capital,1,Venture,United States,FTX TokenFTX USAptos,121
8,Balaji Srinivasan,https://cryptorank.io/funds/balaji-srinivasan,1, Angel Investor,United States,CelestiaAlliance DAOnxyz,115
9,Galaxy,https://cryptorank.io/funds/galaxy-digital,1,Venture,United States,PolygonBlockdaemonBakkt,113
10,Blockchain Capital,https://cryptorank.io/funds/blockchain-capital,1,Venture,United States,Anchorage DigitalZkSyncWorldcoin,106
11,Paradigm,https://cryptorank.io/funds/paradigm,1,Venture,United States,FTX TokenCitadel SecuritiesMoonPay,95
12,Delphi Digital,https://cryptorank.io/funds/delphi-digital,1,Venture,United States,Lido DAO TokendYdXCelestia,93
13,Arrington XRP Capital,https://cryptorank.io/funds/arrington-xrp-capital,1,Venture,United States,Secret NetworkBitcloutDecentralized Social,81
14,Circle,https://cryptorank.io/funds/circle,1,Venture,United States,SuiBinance.USNear Protocol,81
15,Sequoia Capital,https://cryptorank.io/funds/sequoia-capital,1,Venture,United States,RobinhoodFTX TokenCitadel Securities,75
16,Y Combinator,https://cryptorank.io/funds/y-combinator,1,Incubator,United States,CoinbaseCoinTrackerProxy,72
17,Tiger Global Management,https://cryptorank.io/funds/tiger-global-management,1,Venture,United States,MoonPayFTX TokenRevolut,70
18,ConsenSys,https://cryptorank.io/funds/consensys,1,Corporation,United States,BlockFiCoinhouseSardine,53
19,Ribbit Capital,https://cryptorank.io/funds/ribbit-capital,1,Venture,United States,RobinhoodFTX TokenDigital Currency Group,51
20,GV Google Ventures,https://cryptorank.io/funds/gv,1,Venture,United States,Yuga LabsDapper LabsHelium,26
21,Goldman Sachs,https://cryptorank.io/funds/goldman-sachs,1,Corporation,United States,Anchorage DigitalStarling BankBlockdaemon,23
22,Ripple,https://cryptorank.io/funds/ripple,1,Corporation,United States,Hex TrustKeyrockPhilippine Digital Asset Exchange,16
23,J.P. Morgan,https://cryptorank.io/funds/jp-morgan,1,Corporation,United States,IncodeFigureDigital Asset,14
24,Temasek,https://cryptorank.io/funds/temasek,1,Venture,Singapore,FTX TokenConsenSysBitmain,14
25,Ubisoft Entertainment SA,https://cryptorank.io/funds/ubisoft-entertainment-sa,1,Corporation,France,Animoca BrandsHorizon Blockchain GamesCross The Ages,7
26,Vitalik Buterin,https://cryptorank.io/funds/vitalik-buterin,1, Angel Investor,Switzerland,AztecNomic FoundationStarkNet,6
27,BlackRock,https://cryptorank.io/funds/black-rock,1,Corporation,United States,Epic GamesFTX TokenCircle,5
28,Visa,https://cryptorank.io/funds/visa,1,Corporation,United States,TRM LabsSardineAnchorage Digital,5
29,Samsung,https://cryptorank.io/funds/samsung,1,Corporation,South Korea,AleoSpectral FinanceSesame Labs,4
30,Tether,https://cryptorank.io/funds/tether,1,Corporation,N/A,CelsiusCityPay.ioNorthern Data Group,4
31,Morgan Stanley,https://cryptorank.io/funds/morgan-stanley,1,Corporation,United States,NYDIGSecuritize,3
32,Animoca Brands,https://cryptorank.io/funds/animoca-brands,2,Venture,Hong Kong,FortePolygonYuga Labs,280
33,Digital Currency Group (DC...,https://cryptorank.io/funds/dcg-group,2,Venture,United States,FlowCircleLedger,246
34,NGC Ventures,https://cryptorank.io/funds/ngc-ventures,2,Venture,Singapore,Secret NetworkLayerZeroPANONY,205
35,Shima Capital,https://cryptorank.io/funds/shima-capital,2,Venture,United States,Secret NetworkGunzilla GamesBoba Network,171
36,LD Capital,https://cryptorank.io/funds/ld-capital,2,Venture,China,CoinlistAssemblyBoba Network,170
37,The Spartan Group,https://cryptorank.io/funds/spartan-group,2,Venture,United States,PolygonBitDAOConsenSys,155
38,Hashed Fund,https://cryptorank.io/funds/hashed-fund,2,Venture,South Korea,Yuga LabsSecret NetworkNear Protocol,133
39,CMS Holdings,https://cryptorank.io/funds/cms-holdings,2,Venture,United States,BlockFiSolanaAvalanche,129
40,GBV Capital,https://cryptorank.io/funds/gbv-capital,2,Venture,Hong Kong,Maps.meBoba NetworkColony,128
41,Solana Ventures,https://cryptorank.io/funds/solana-ventures,2,Venture,United States,FortePhantomAlliance DAO,113
42,CMT Digital,https://cryptorank.io/funds/cmt-digital,2,Venture,United States,BakktImprobableRain,112
43,Fenbushi Capital,https://cryptorank.io/funds/fenbushi-capital,2,Venture,China,Secret NetworkAmber GroupBitDAO,111
44,Polygon Ventures,https://cryptorank.io/funds/polygon-ventures,2,Venture,United States,LayerZeroUnstoppable DomainsEveryrealm,107
45,Morningstar Ventures,https://cryptorank.io/funds/morningstar-ventures,2,Venture,UAE,BestSignGunzilla GamesJambo,106
46,IOSG,https://cryptorank.io/funds/iosg,2,Venture,Hong Kong,LiquidInternet ComputerSafe,105
47,CoinFund,https://cryptorank.io/funds/coin-fund,2,Venture,United States,PolygonSecret NetworkBlockdaemon,104
48,Framework Ventures,https://cryptorank.io/funds/framework-ventures,2,Venture,Canada,IncodeCertoraStardust,103
49,Genblock Capital,https://cryptorank.io/funds/genblock-capital,2,Venture,United States,Boba NetworkJamboAAG Ventures,100
50,ParaFi Capital,https://cryptorank.io/funds/paraficapital,2,Venture,United States,ConsenSysFireblocksGemini Dollar,94
51,Jump Crypto,https://cryptorank.io/funds/jump-crypto,2,Venture,United States,Terra ClassicSuiKuCoin Token,89
52,Infinity Ventures Crypto,https://cryptorank.io/funds/infinity-ventures-crypto,2,Venture,Taiwan,MechaFightClubxterioCrypto Unicorns,85
53,Electric Capital,https://cryptorank.io/funds/electric-capital,2,Venture,United States,Genesis Digital AssetsConsenSysMagic Eden,83
54,Mechanism Capital,https://cryptorank.io/funds/mechanism-capital,2,Venture,United States,Near ProtocolMaraUpShot,83
55,Kenetic Capital,https://cryptorank.io/funds/kenetic-capital,2,Venture,Hong Kong,BlockFiBlockdaemonHex Trust,82
56,DeFiance Capital,https://cryptorank.io/funds/de-fiance-capital,2,Venture,Singapore,Terra ClassicSecret NetworkConsenSys,81
57,Sandeep Nailwal,https://cryptorank.io/funds/sandeep-nailwal,2, Angel Investor,India,LayerZeroAlliance DAOZamp,81
58,Hypersphere Ventures,https://cryptorank.io/funds/hypersphereventures,2,Venture,United States,LayerZeroMultichainBoba Network,79
59,Jump Capital,https://cryptorank.io/funds/jump-capital,2,Venture,United States,BlockFiBitpanda Ecosystem TokenBitDAO,78
60,1kx,https://cryptorank.io/funds/1kx,2,Venture,Netherlands,SafeZkSyncTerra Classic,75
61,Sfermion,https://cryptorank.io/funds/sfermion,2,Venture,United States,RenderFlowdeskPalm NFT Studio,73
62,The LAO,https://cryptorank.io/funds/thelao,2,DAO,Singapore,SafeLido DAO TokenConsenSys,73
63,Magnus Capital,https://cryptorank.io/funds/magnus-capital,2,Incubator,United States,Secret NetworkHXROSidus Heroes,70
64,Mirana Ventures,https://cryptorank.io/funds/mirana-ventures,2,Venture,Hong Kong,ImprobableStory ProtocolPath Crypto,69
65,FBG Capital,https://cryptorank.io/funds/fbg-capital,2,Venture,China,CoinlistChilizThunderCore,68
66,Lightspeed Venture Partner...,https://cryptorank.io/funds/lightspeed-venture-partners,2,Venture,United States,Epic GamesFTX TokenBlockchain.com,68
67,Dapper Labs,https://cryptorank.io/funds/dapper-labs,2,Corporation,Canada,FlowOneFootballLayerZero,65
68,6th Man Ventures,https://cryptorank.io/funds/6th-man-ventures,2,Venture,United States,Near ProtocolFan Controlled FootballCeramic,62
69,MEXC,https://cryptorank.io/funds/mexc,2,Exchange,Singapore,WOO NetworkOrderly NetworkThetanuts Finance,62
70,Republic,https://cryptorank.io/funds/republic,2,Venture,United States,Terra ClassicPolygonNear Protocol,62
71,Double Peak,https://cryptorank.io/funds/double-peak,2,Venture,Hong Kong,Hex TrustBlocklordsChainPort,61
72,Stani Kulechov,https://cryptorank.io/funds/stani-kulechov,2, Angel Investor,United Kingdom,Near ProtocolLayerZeroAlliance DAO,58
73,Distributed Global,https://cryptorank.io/funds/distributedglobal,2,Venture,United States,BitcloutDecentralized SocialWorldcoin,56
74,Fabric Ventures,https://cryptorank.io/funds/fabric-ventures,2,Venture,United Kingdom,ImmutableAxie InfinityHoma,56
75,Gate.io,https://cryptorank.io/funds/gate-io,2,Exchange,United States,WOO NetworkJamboMara,55
76,IDEO CoLab Ventures,https://cryptorank.io/funds/ideoventures,2,Venture,United States,Alliance DAONeonOptimism,55
